Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,49.0160724859814,47.0158745421844,44.7168755488078,42.4729315380133,40.2817131340908,38.1566773531633,36.0895782724922,34.1311412147142,32.410614193444,30.7685606166933,29.1875953348837,27.6574260000651,26.2446695006568,24.9821015442487,23.9141452788578,23.1177923422356,22.5487859307346,22.2248911968963,22.1022947138158,22.1210163204308,22.3513784575072,22.7594573203821,23.2799020002879,23.7914730950409,24.265991136108,24.679253220419,24.7114615259881,24.7422543189586,24.9070409485278,24.3826715689331,23.1221988627307,21.9928480262715,23.5650921513247,29.3346781233171,36.7787540894137,44.2887366163107,44.6484194463473,44.9967098166377,45.2918586389887,44.7556647298642,42.6155428871985,37.9531453468087,30.8796517839583,24.1122074049356,22.2158999218587,22.4591277817515,22.7400223067545,22.9841969901626,23.6908104760558,24.3751537115161,24.2477850119602,24.9615373967536,26.9290489903759,27.0549696167235,27.5029381651188,28.1705131703697,28.4980155176566,28.3462643639241,27.8128949493507,27.2835794248631,26.9639092217564,26.8133473603832,26.8511892093778,26.9835797344503
caret,30.3452421436571,28.780051994767,27.3691766948664,26.2185237696778,25.1547374481058,24.1796562455232,23.1851198274454,22.2089877324281,21.3067867029897,20.4494007763005,19.5822653705531,18.6853982931183,17.8344531326388,17.0126964369244,16.2829190471726,15.6236381087471,14.9526814531689,14.288157373201,13.689344266982,13.1940798935971,12.8296277899856,12.6084351583204,12.5117999024817,12.5603554443927,12.7619788667056,13.0640916761092,13.4127003419385,13.7140859717241,14.1345478253694,14.3706414539912,15.5776254455453,16.8385489748708,17.8110148090439,18.5932757369486,19.1953267759266,19.4185812825638,19.2954402297437,18.835748750114,18.3036228564406,17.7590257670798,17.186390491007,16.7155612510014,16.2801557623922,15.9475798650733,15.6757926166344,15.4052661275529,15.2075966179285,15.1006678300317,15.0877918973829,15.1487723605382,15.3136204778861,15.633468917493,16.0217411563577,16.6009031345798,17.2720915824392,18.2052806833647,19.2074716527884,20.2478752099367,21.6560157616808,22.9576172714368,24.5953521675622,25.9985005906595,27.1112985016663,28.321791112579
check,32.3711556055603,31.6177267916242,30.9868925096908,30.4650180730489,30.0342182833529,29.6389671472074,29.3758770043993,29.1439403265197,28.8177519593549,28.5033959692674,28.0330127037737,27.5449775961463,27.323153123889,26.53666770824,25.7748749140197,24.6112627428182,23.0660842143168,22.7812866588017,22.5244812758497,22.0312616362403,20.9567693426738,19.7443558234584,18.4932160912648,17.2243287384616,15.9449591771641,14.6862074004797,13.5325384215191,12.4332470145725,11.3788136090131,10.3092578925497,9.27444370013145,8.28715648424591,7.50868961257976,7.06998809146352,6.93831055971548,7.07580903293051,7.48363450018612,8.04514149551038,8.77737160741426,9.59581440951353,10.4406160045502,11.3355931260029,12.2974580380297,13.333421660814,14.412277277939,15.5173824710617,16.6507038565963,17.8134787519614,18.9549646871102,20.1167834347053,21.3184067277886,22.5230809760988,23.7007690179668,24.8504383866565,26.0044325862118,27.204105709267,28.4621212969966,29.6391885995862,30.7406567595514,31.7859146301888,32.8670894287859,34.0969621787571,35.1498205915779,36.3790214657752
circle,29.0240428510985,29.1536817665306,29.542387255558,30.056692466749,30.4146741254585,30.4731924153285,30.5620764076016,29.9057103475752,29.2473653062239,28.7228656924602,28.2541248034134,28.0899865209578,28.2348009124287,28.5135822176143,28.7719214086895,28.8548614245181,29.2601551908155,29.4700248770345,29.7680091472333,29.9651542717838,30.1211450649281,30.075132028993,30.1790294899127,30.2501605093741,30.4479895481918,30.6784692671947,31.1282672631694,31.7558952994008,32.1182698808511,32.5726911681878,32.9493595501943,33.3062528500083,33.6645596526314,33.9104164007569,34.1221725531186,34.2506936069426,34.1148503645622,33.9507549077709,33.6543783573171,33.280401046455,33.0797743846604,32.6927587058337,32.4382229316492,32.279667590521,32.1137455045848,31.9498061893302,31.5985394273919,30.954306543001,30.5296523115339,30.2474605228825,30.2528345362411,30.5440629784333,31.2882339122147,32.0479915482009,32.9579960339164,33.8513221928404,34.5152589273378,34.9720855661478,35.3401888194555,35.6055193153399,36.0399275348156,36.4600423199341,36.4571382643958,36.4547692588547
delete,27.2718411096594,25.3515448207477,23.7146056518143,22.2329585298575,20.8055778476602,19.4357021641072,18.202053108563,17.0822364601803,15.9816888092933,15.0414838626431,14.1911212230074,13.420603221207,12.9664122282501,12.6706222911675,12.6406097284479,12.8795965532512,13.1730110737435,13.7355541741494,14.728304787374,16.1325969733584,18.1297618752552,20.9773518845666,24.9565351131915,24.1502524923052,23.5385236004158,23.3335203754703,23.0988739112899,22.4764270727797,22.0305594539752,21.6732637159342,21.4012038778428,21.301449299982,21.2706433306827,21.4187507237695,21.3476749272571,21.5262263566611,22.7681265053465,25.060846012755,26.6832175135401,24.1225193277498,21.4204168017751,20.3108051079846,19.0070939108203,17.7965774116086,16.7763150794776,15.7883715833857,14.9527656484464,14.398717337818,14.2094912132006,14.2199300931134,14.4952567876348,15.2196825981787,15.6242264617203,16.2515382315658,17.1453400789508,18.2499207911859,19.3813925949327,20.551758717074,21.8801739371433,23.3069195579783,24.8396328163075,26.3523419482172,28.1613342727884,30.0037339117734
left curly brace,27.2995983074477,26.9789067193923,26.3387337331363,25.4779526529019,24.4694756439178,23.4130487975849,22.4824519717256,21.527051671539,20.8846723846222,20.0563093159384,18.9823549982301,18.0137951908324,17.05117581809,15.9770881358017,15.222505875858,14.3341719397454,13.7499770910648,13.4307414315425,13.422026495257,13.2431953252376,12.8990549391736,13.0559623313559,12.3800836520807,11.7829363387434,10.8467024058221,9.08275485315687,8.18649527939619,8.24416420616927,9.10983548687448,10.42291704609,12.5250161020063,13.3985075229255,10.6646860019075,9.40279194155354,9.28224814937272,9.61034096365819,9.95283031608919,9.95466309024036,10.5113424326077,11.4082423396579,11.6944331287687,11.6423670159295,11.8792215357978,12.0847837089347,12.3058638960908,12.6255276161671,13.201084620011,14.0145803945562,14.8574032981927,15.770508559878,16.4956593460229,17.2210370780702,17.9727517978935,18.5507658234688,18.9927494901581,19.3934862948395,19.9438162091073,20.8749378517475,22.2230406289817,23.497031264357,24.6532983581961,25.4894333996797,25.9734931630293,26.1317214876925
left square bracket,26.6959188488912,26.2137603617828,26.0133905462818,25.7774482622922,25.5501566752175,25.3068356883556,25.1093632346811,24.9820629399933,24.8934922635584,24.8827137026743,24.857638509009,24.3458086914744,23.2765842052372,21.6057810361579,19.860960022933,19.0976193430715,18.2317737256994,17.0338713576463,15.9681527661466,15.0419580232778,14.1294014030707,13.1954026342175,12.3239307247493,11.5209531109643,10.7754192727121,10.0784327632219,9.45383639661304,8.89919906169477,8.47977653824946,8.1558669054802,8.04596666139716,8.14652741943254,8.45973166977514,8.95861947427893,9.53145782951013,10.2667656582102,11.0854072195302,11.9465001014961,12.8297348178101,13.7772805142448,14.7495427252583,15.7588747769483,16.6125499176935,17.1031134415853,17.9242423018785,19.0463031419501,20.5403454131513,22.4137091980269,23.2640210130376,23.3242069309155,23.6837609929641,24.3762330248573,24.8262478323641,25.203726352888,25.4382417141272,25.6986061370115,26.0024999247939,26.4068654693681,26.8550179879579,27.3749128413039,27.9956965399182,28.7687326409111,29.535949628534,30.6197615698282
pigtail,29.5048373625214,28.1067867383572,26.7570489116334,25.4644480303445,24.2534840294085,23.0705248639363,21.958653642229,20.9198321404919,19.9011794678917,18.8984119919649,17.9559670345915,17.0722787047826,16.2655396698268,15.5702595860158,15.0352974033951,14.6953965157202,14.5363378514925,14.5187833423637,14.6363736654348,14.8344284812516,14.99944386159,15.2824816117744,15.6899166870636,16.2673696366231,17.1979309393493,18.7688951213831,20.3865433574562,22.0569364190857,23.3621937972538,24.126566770255,25.3852290802663,26.6193022212118,27.6211371034486,28.1333809169785,27.5792482523902,27.2578517222315,25.9939631289802,24.631809370132,23.5693317808321,22.7990984163591,22.1153605284893,21.3949458734085,20.7388637342984,20.2456148027444,19.5903604526096,18.8207842859858,18.2454664349777,17.808155489104,17.2345649671279,16.7645675001492,16.1792375070208,15.7883082697038,15.4542917076449,15.2872686908806,15.2322228025108,15.2487033317591,15.6034726698033,16.1850067735005,16.875923621041,17.7338114462232,18.6353649602013,19.7798648541949,20.9812865584386,22.3423616229708
rectangle,28.3559098452698,27.2329391942347,26.401767075161,25.7264183770966,25.2991735143355,25.1428139451128,25.2336393532543,25.5773413952852,26.0228766381528,26.7292612774613,26.2218505406334,25.3035867913618,25.324012418467,27.338670840838,28.078272632887,29.3761186745975,29.3295761992036,28.8316874841878,28.4558090320728,27.9813840160557,27.5493029704793,27.2712349396065,27.1953321883768,27.2911069099848,27.4809479442668,27.8040869145393,28.2733109016587,28.9647823225654,29.9389104000975,31.054588201866,31.4823088978776,31.098394133572,29.5059748944554,29.2773061152473,29.2328604395606,28.7261799076199,28.1171194329917,27.5556089989229,27.2885949672075,27.3738231386817,27.688222824659,27.9510292934379,28.1541111958226,27.5582618772702,27.7214611465383,29.1867945831888,28.3598695821905,28.4647184779929,28.5492625413233,28.7391166973288,28.8562614437103,28.7512988674634,28.4881848436671,28.3057413333821,28.3374894299683,28.5468038497312,28.8506514780469,29.5117975367282,30.2793568993102,31.2679523178726,32.3371001694446,33.3760137495641,34.4775093883627,35.3478142491927
right curly brace,25.5542772191191,25.068385936854,24.4924419444285,24.1939101578325,23.8165463659366,23.1731708061258,22.2534784823325,21.2789380882386,20.4666222953193,19.7958463337906,19.2470231051117,18.5937898376079,17.8916795428417,16.9782756067336,16.1309439459246,15.3279747314404,14.5395133859202,13.7192036536928,12.9582807593602,12.3327223371562,11.8635291316655,11.4137864694216,11.0843459022169,10.6985091060081,10.3250186437549,9.95965190566394,9.66209051614588,9.31324758250141,8.98079034490936,8.22401327616804,8.02731960520776,7.71564051013485,7.89926543159113,8.80560673867308,7.86368236381204,7.54866537869442,7.65489521285364,7.59711699055258,7.93977057467481,8.51958209663716,9.17010199082552,9.87375267209394,10.6565553504359,11.5251353571097,12.4215706146524,13.4199661106689,14.4249595637161,15.4321912246255,16.3406542713382,17.1925929294878,18.0755296106479,18.8071942846476,19.7038521584171,20.4007491044564,21.2366208931333,22.0657092937848,22.9995334410281,24.112552477207,25.0433643189596,26.0229402692579,26.9457685716999,27.9453006719544,29.0747140915848,29.6367631658152
